,X_Coordinate,Y_Coordinate,Distance(median),Distance(direct),Date
0,326.4662551879883,284.95948791503906,1319.0,1327,2022-12-19 16:21:10.790
1,326.7499542236328,285.11916160583496,1330.0,1330,2022-12-19 16:21:10.821
2,326.8156051635742,285.1762390136719,1325.0,1333,2022-12-19 16:21:10.859
3,326.9513702392578,285.11157989501953,1330.0,1336,2022-12-19 16:21:10.890
4,326.7405700683594,285.24624824523926,1330.0,1322,2022-12-19 16:21:10.922
5,326.7250442504883,284.9025535583496,1325.0,1327,2022-12-19 16:21:10.959
6,326.75601959228516,285.4383945465088,1330.0,1330,2022-12-19 16:21:10.991
7,326.6665267944336,285.5292320251465,1327.0,1327,2022-12-19 16:21:11.022
8,326.414794921875,286.4655590057373,1327.0,1336,2022-12-19 16:21:11.059
9,326.5435028076172,287.561616897583,1342.0,1348,2022-12-19 16:21:11.091
10,326.9102096557617,288.7689685821533,1330.0,1345,2022-12-19 16:21:11.122
11,327.3583984375,289.09953117370605,1322.0,1325,2022-12-19 16:21:11.160
12,327.5441360473633,289.90774154663086,1302.0,1310,2022-12-19 16:21:11.191
13,327.77183532714844,290.1895809173584,1293.0,1302,2022-12-19 16:21:11.222
14,327.57049560546875,290.38021087646484,1291.0,1288,2022-12-19 16:21:11.260
15,327.2315216064453,290.65893173217773,1286.5,1293,2022-12-19 16:21:11.291
16,326.9621276855469,290.7875633239746,1293.0,1307,2022-12-19 16:21:11.323
17,325.96256256103516,291.2098217010498,1285.0,0,2022-12-19 16:21:11.360
18,325.4298400878906,291.3497257232666,1293.0,0,2022-12-19 16:21:11.391
19,324.8890686035156,291.34912490844727,1280.0,0,2022-12-19 16:21:11.422
20,324.5460891723633,291.79664611816406,1296.0,0,2022-12-19 16:21:11.460
21,324.0446090698242,292.1395683288574,826.0,0,2022-12-19 16:21:11.491
22,324.0608596801758,293.31298828125,830.0,0,2022-12-19 16:21:11.523
23,323.96766662597656,294.096736907959,825.0,0,2022-12-19 16:21:11.560
24,324.13768768310547,295.1513671875,824.0,0,2022-12-19 16:21:11.591
25,324.0325164794922,295.9661293029785,824.0,0,2022-12-19 16:21:11.623
26,324.19368743896484,296.458797454834,825.0,0,2022-12-19 16:21:11.660
27,324.2792510986328,296.81310653686523,823.0,0,2022-12-19 16:21:11.692
28,324.3963623046875,297.0911407470703,820.0,0,2022-12-19 16:21:11.723
29,324.03411865234375,296.7567443847656,821.0,0,2022-12-19 16:21:11.760
30,324.2103576660156,297.2703266143799,819.0,830,2022-12-19 16:21:11.792
31,323.7092971801758,296.6612720489502,815.0,0,2022-12-19 16:21:11.833
32,323.46874237060547,302.825231552124,809.0,815,2022-12-19 16:21:11.876
33,323.19488525390625,298.80191802978516,813.0,819,2022-12-19 16:21:11.939
34,323.65638732910156,296.8773937225342,809.0,0,2022-12-19 16:21:11.960
35,324.0930938720703,296.0127639770508,813.0,0,2022-12-19 16:21:11.976
36,324.1697311401367,294.57881927490234,829.0,0,2022-12-19 16:21:12.007
37,324.3130874633789,292.7849578857422,830.0,0,2022-12-19 16:21:12.039
38,324.1438293457031,290.9036922454834,1274.0,0,2022-12-19 16:21:12.060
39,325.44483184814453,289.1957473754883,1280.0,0,2022-12-19 16:21:12.092
40,327.7497100830078,286.9089603424072,1291.0,1299,2022-12-19 16:21:12.123
41,329.5321273803711,284.8283386230469,1291.0,1299,2022-12-19 16:21:12.160
42,331.42574310302734,283.2920551300049,1288.0,1293,2022-12-19 16:21:12.192
