,X_Coordinate,Y_Coordinate,Distance(median),Distance(direct),Date
0,336.3486099243164,281.5414810180664,1327.0,1333,2022-12-19 16:31:57.809
1,335.9825134277344,281.13441467285156,1327.0,1342,2022-12-19 16:31:57.832
2,335.9156036376953,280.8156394958496,1325.0,1330,2022-12-19 16:31:57.863
3,335.69828033447266,280.59642791748047,1327.0,1327,2022-12-19 16:31:57.910
4,335.4782485961914,280.3176498413086,1319.0,1319,2022-12-19 16:31:57.932
5,335.48580169677734,280.17760276794434,1322.0,1330,2022-12-19 16:31:57.963
6,335.2513885498047,280.922327041626,1322.0,1325,2022-12-19 16:31:57.994
7,334.96517181396484,281.1829662322998,1336.0,1327,2022-12-19 16:31:58.032
8,335.23162841796875,282.2841453552246,1336.0,1330,2022-12-19 16:31:58.064
9,335.0788116455078,282.7433681488037,1327.0,1330,2022-12-19 16:31:58.110
10,335.84312438964844,282.87428855895996,1327.0,1322,2022-12-19 16:31:58.133
11,335.65330505371094,282.46788024902344,1322.0,1319,2022-12-19 16:31:58.164
12,335.5445098876953,282.04808235168457,1322.0,1319,2022-12-19 16:31:58.195
13,335.28942108154297,281.35448455810547,1313.0,1302,2022-12-19 16:31:58.233
14,334.7877883911133,280.9782600402832,1302.0,1310,2022-12-19 16:31:58.264
15,333.72711181640625,280.8314037322998,1319.0,1316,2022-12-19 16:31:58.296
16,332.75882720947266,280.5552291870117,1310.0,1299,2022-12-19 16:31:58.333
17,331.7723846435547,280.52696228027344,1316.0,1310,2022-12-19 16:31:58.365
18,330.40782928466797,280.38230895996094,1305.0,1305,2022-12-19 16:31:58.396
19,329.37496185302734,280.0847053527832,1313.0,1313,2022-12-19 16:31:58.434
20,328.6265182495117,279.08397674560547,1316.0,1307,2022-12-19 16:31:58.465
21,328.24066162109375,277.76942253112793,1316.0,1293,2022-12-19 16:31:58.496
22,326.66748046875,275.43073654174805,1322.0,1307,2022-12-19 16:31:58.534
23,326.3298034667969,273.4438705444336,1310.0,1296,2022-12-19 16:31:58.565
24,324.8276138305664,272.03558921813965,1310.0,1305,2022-12-19 16:31:58.597
25,323.2763671875,271.07897758483887,1313.0,1305,2022-12-19 16:31:58.634
26,319.9752426147461,270.9033393859863,1325.0,1325,2022-12-19 16:31:58.666
27,317.4026679992676,271.8643569946289,1316.0,1322,2022-12-19 16:31:58.697
28,314.8918342590332,273.36304664611816,1327.0,1345,2022-12-19 16:31:58.735
29,312.80120849609375,274.1311740875244,1336.0,1376,2022-12-19 16:31:58.766
30,310.8409118652344,275.3437900543213,1393.0,1462,2022-12-19 16:31:58.798
31,309.9493598937988,276.6872978210449,1431.0,0,2022-12-19 16:31:58.851
32,309.29468154907227,277.96411514282227,1369.0,1476,2022-12-19 16:31:58.882
33,308.3792495727539,278.1186103820801,1348.0,0,2022-12-19 16:31:58.920
34,308.5559844970703,278.1481647491455,1374.5,0,2022-12-19 16:31:58.935
35,308.96366119384766,277.1910095214844,1366.0,0,2022-12-19 16:31:58.967
36,309.59863662719727,276.31659507751465,1363.0,0,2022-12-19 16:31:58.998
37,311.0367012023926,273.7965488433838,1360.0,0,2022-12-19 16:31:59.035
38,312.3995780944824,271.08349800109863,1391.0,1491,2022-12-19 16:31:59.067
39,314.37328338623047,268.4271812438965,1348.0,0,2022-12-19 16:31:59.098
40,316.19287490844727,265.6226062774658,1389.5,1404,2022-12-19 16:31:59.135
41,318.59596252441406,262.8299617767334,1334.5,1373,2022-12-19 16:31:59.167
42,319.3935775756836,260.48749923706055,1327.0,1330,2022-12-19 16:31:59.198
43,320.80116271972656,259.4479751586914,1316.0,1305,2022-12-19 16:31:59.236
44,321.70764923095703,257.70206451416016,1322.0,1316,2022-12-19 16:31:59.267
45,322.3880386352539,256.37500762939453,1313.0,1313,2022-12-19 16:31:59.298
46,323.5519027709961,255.75081825256348,1305.0,1293,2022-12-19 16:31:59.337
47,324.18701171875,254.88624572753906,1291.0,1296,2022-12-19 16:31:59.368
48,325.4102325439453,253.90548706054688,1274.0,1259,2022-12-19 16:31:59.399
49,327.70198822021484,252.40496635437012,1274.0,1264,2022-12-19 16:31:59.437
50,331.9044494628906,252.068452835083,1261.0,1261,2022-12-19 16:31:59.468
51,336.31370544433594,251.96471214294434,1243.0,1243,2022-12-19 16:31:59.500
52,341.50856018066406,252.33304023742676,1238.0,1243,2022-12-19 16:31:59.537
53,346.8109893798828,252.44562149047852,702.0,0,2022-12-19 16:31:59.568
54,352.3756790161133,252.7797031402588,689.0,696,2022-12-19 16:31:59.600
55,358.4847640991211,252.87580490112305,682.0,685,2022-12-19 16:31:59.637
56,365.22117614746094,253.17346572875977,674.0,675,2022-12-19 16:31:59.669
57,371.6572952270508,252.72497177124023,666.0,666,2022-12-19 16:31:59.700
58,379.55257415771484,252.30895042419434,663.0,662,2022-12-19 16:31:59.738
59,386.0681915283203,251.6865634918213,660.0,659,2022-12-19 16:31:59.769
60,393.1711959838867,250.52312850952148,657.0,656,2022-12-19 16:31:59.800
61,401.51458740234375,250.0876808166504,660.0,655,2022-12-19 16:31:59.839
62,408.6928176879883,249.8086166381836,663.0,664,2022-12-19 16:31:59.870
63,414.8722839355469,248.59359741210938,676.0,669,2022-12-19 16:31:59.901
64,420.8577346801758,246.5031623840332,720.0,727,2022-12-19 16:31:59.939
65,426.89746856689453,245.1540756225586,746.0,754,2022-12-19 16:31:59.970
66,430.3926467895508,243.57576370239258,747.0,753,2022-12-19 16:32:00.001
67,433.62831115722656,242.6608371734619,750.0,755,2022-12-19 16:32:00.039
68,433.8630676269531,243.01603317260742,753.0,755,2022-12-19 16:32:00.070
69,432.6702117919922,243.5606288909912,753.0,754,2022-12-19 16:32:00.101
70,431.1561584472656,244.3820858001709,755.0,759,2022-12-19 16:32:00.139
71,427.93434143066406,245.82077980041504,749.0,753,2022-12-19 16:32:00.179
72,426.4645767211914,252.4871063232422,762.0,767,2022-12-19 16:32:00.194
73,424.20982360839844,246.93772315979004,747.0,750,2022-12-19 16:32:00.324
74,406.5602493286133,250.69098472595215,660.0,660,2022-12-19 16:32:00.340
75,400.17486572265625,254.9886703491211,659.0,654,2022-12-19 16:32:00.371
76,394.3077850341797,256.6271781921387,659.0,655,2022-12-19 16:32:00.402
77,387.9861831665039,257.9253673553467,658.0,654,2022-12-19 16:32:00.440
78,382.93453216552734,259.1663074493408,663.0,659,2022-12-19 16:32:00.471
79,376.3005828857422,261.03721618652344,668.0,665,2022-12-19 16:32:00.502
80,371.0893249511719,262.36141204833984,674.0,672,2022-12-19 16:32:00.541
81,365.81111907958984,265.0374698638916,685.0,679,2022-12-19 16:32:00.572
82,360.7759475708008,267.3159599304199,697.0,694,2022-12-19 16:32:00.603
83,357.4062728881836,269.51674461364746,709.0,707,2022-12-19 16:32:00.641
84,351.79691314697266,271.39949798583984,750.0,0,2022-12-19 16:32:00.672
85,347.9692077636719,272.9132080078125,1243.0,1253,2022-12-19 16:32:00.703
86,343.7717819213867,275.59075355529785,1266.0,1272,2022-12-19 16:32:00.741
87,341.1964416503906,276.4787292480469,1283.0,1288,2022-12-19 16:32:00.772
88,336.9623565673828,279.33823585510254,1310.0,1299,2022-12-19 16:32:00.803
89,333.8079071044922,279.63074684143066,1319.0,1313,2022-12-19 16:32:00.841
90,329.80968475341797,281.09044075012207,1325.0,1313,2022-12-19 16:32:00.873
91,325.9031295776367,282.5002670288086,1325.0,1316,2022-12-19 16:32:00.904
92,322.1265411376953,284.0653610229492,1327.0,1330,2022-12-19 16:32:00.941
93,317.63227462768555,285.5032253265381,1327.0,1336,2022-12-19 16:32:00.973
94,313.7532424926758,287.3610019683838,1313.0,0,2022-12-19 16:32:01.004
95,310.26159286499023,289.1942882537842,830.0,0,2022-12-19 16:32:01.042
96,306.85367584228516,290.0936222076416,828.0,0,2022-12-19 16:32:01.073
97,303.7930679321289,291.71576499938965,824.0,818,2022-12-19 16:32:01.105
98,300.23021697998047,291.99780464172363,829.0,830,2022-12-19 16:32:01.142
99,297.39477157592773,292.16257095336914,828.0,826,2022-12-19 16:32:01.173
100,293.6553382873535,293.09383392333984,832.0,837,2022-12-19 16:32:01.205
101,290.7203674316406,293.50908279418945,832.0,831,2022-12-19 16:32:01.243
102,287.8265953063965,294.1434860229492,833.0,830,2022-12-19 16:32:01.274
103,285.3811264038086,293.7660884857178,836.0,833,2022-12-19 16:32:01.305
104,283.51572036743164,294.3050765991211,838.0,836,2022-12-19 16:32:01.343
105,282.8962516784668,295.3154468536377,841.0,837,2022-12-19 16:32:01.375
106,281.7299270629883,294.4844627380371,841.0,837,2022-12-19 16:32:01.406
107,281.5885543823242,295.0038528442383,843.0,837,2022-12-19 16:32:01.444
108,281.56843185424805,294.3636989593506,848.0,844,2022-12-19 16:32:01.475
109,281.895694732666,293.7062358856201,848.0,845,2022-12-19 16:32:01.506
110,282.4684715270996,292.97581672668457,852.0,846,2022-12-19 16:32:01.544
111,283.8304901123047,290.3847026824951,856.0,851,2022-12-19 16:32:01.575
112,285.9170341491699,289.17091369628906,856.0,857,2022-12-19 16:32:01.607
113,288.8694763183594,286.2883186340332,868.0,873,2022-12-19 16:32:01.645
114,291.8745231628418,283.6621570587158,870.0,0,2022-12-19 16:32:01.676
115,294.7459411621094,280.67015647888184,888.0,0,2022-12-19 16:32:01.707
116,297.3982620239258,276.7005157470703,1673.5,0,2022-12-19 16:32:01.744
117,300.22722244262695,274.3479251861572,1902.0,0,2022-12-19 16:32:01.776
118,302.9595756530762,271.87625885009766,1902.0,1920,2022-12-19 16:32:01.807
119,305.5419731140137,269.241886138916,1890.0,1896,2022-12-19 16:32:01.845
120,308.68282318115234,266.9263744354248,1790.0,1790,2022-12-19 16:32:01.876
121,314.0439224243164,264.3567180633545,1385.0,1441,2022-12-19 16:32:01.907
122,320.4923629760742,262.67635345458984,1319.0,1322,2022-12-19 16:32:01.945
123,326.1871337890625,259.6069049835205,1272.0,1269,2022-12-19 16:32:01.976
124,334.2660140991211,254.85511779785156,1253.0,1248,2022-12-19 16:32:02.007
125,343.32569122314453,251.57383918762207,1223.0,1226,2022-12-19 16:32:02.045
126,351.03240966796875,247.06758499145508,686.0,693,2022-12-19 16:32:02.076
127,360.7562255859375,241.7409896850586,664.0,663,2022-12-19 16:32:02.108
128,371.87843322753906,237.00058937072754,647.0,646,2022-12-19 16:32:02.145
129,382.3053741455078,232.24352359771729,638.0,635,2022-12-19 16:32:02.177
130,391.85546875,228.51316452026367,635.0,633,2022-12-19 16:32:02.208
131,402.01908111572266,225.32728672027588,639.0,639,2022-12-19 16:32:02.246
132,411.2494659423828,222.86962509155273,652.0,652,2022-12-19 16:32:02.277
133,416.5919494628906,220.55780410766602,664.0,664,2022-12-19 16:32:02.308
134,422.18238830566406,218.6945915222168,681.0,686,2022-12-19 16:32:02.346
