,X_Coordinate,Y_Coordinate,Distance(median),Distance(direct),Date
0,366.8788528442383,258.1246089935303,673,675,2022-12-19 14:46:25.124
1,367.5607681274414,258.01849365234375,673,673,2022-12-19 14:46:25.155
2,367.10594177246094,258.38544845581055,673,672,2022-12-19 14:46:25.193
3,366.97715759277344,258.39097023010254,673.0,675,2022-12-19 14:46:25.224
4,366.1779022216797,258.5339069366455,673,673,2022-12-19 14:46:25.256
5,367.00035095214844,258.7236213684082,673,673,2022-12-19 14:46:25.293
6,366.2560272216797,258.6771297454834,674,675,2022-12-19 14:46:25.325
7,366.5191650390625,259.09003257751465,674,676,2022-12-19 14:46:25.356
8,365.8085632324219,258.7657928466797,675.0,676,2022-12-19 14:46:25.394
9,365.3465270996094,258.0297088623047,675,676,2022-12-19 14:46:25.425
10,365.5818557739258,258.4049320220947,675,678,2022-12-19 14:46:25.456
11,364.44393157958984,258.08921813964844,677,678,2022-12-19 14:46:25.494
12,364.8319625854492,258.4961700439453,677,679,2022-12-19 14:46:25.525
13,364.1837692260742,258.9630317687988,676.0,679,2022-12-19 14:46:25.556
14,363.7263488769531,258.9283847808838,678.0,682,2022-12-19 14:46:25.594
15,362.70740509033203,259.3509864807129,680,685,2022-12-19 14:46:25.625
16,362.1478271484375,258.9539051055908,679.0,685,2022-12-19 14:46:25.663
17,361.9720458984375,258.9525318145752,682.0,686,2022-12-19 14:46:25.694
18,360.70953369140625,258.2896900177002,683,689,2022-12-19 14:46:25.726
19,360.81798553466797,258.068904876709,682,689,2022-12-19 14:46:25.757
20,359.48509216308594,257.84963607788086,683.0,689,2022-12-19 14:46:25.795
21,358.6894989013672,258.0277919769287,688.0,693,2022-12-19 14:46:25.826
22,357.1581268310547,258.1242370605469,689,695,2022-12-19 14:46:25.857
23,355.1088333129883,257.56479263305664,695.0,699,2022-12-19 14:46:25.895
24,354.7468566894531,256.94958686828613,696,700,2022-12-19 14:46:25.926
25,354.0118408203125,257.1466541290283,696,701,2022-12-19 14:46:25.957
26,354.1559600830078,256.68445587158203,696.0,701,2022-12-19 14:46:25.995
27,353.47938537597656,256.58337593078613,700,705,2022-12-19 14:46:26.026
28,353.2440948486328,256.8357181549072,698.0,701,2022-12-19 14:46:26.058
29,353.39439392089844,256.937255859375,699,702,2022-12-19 14:46:26.080
30,353.33728790283203,257.689733505249,700,703,2022-12-19 14:46:26.127
31,352.5035858154297,257.68383979797363,704,705,2022-12-19 14:46:26.158
32,352.49969482421875,258.36170196533203,705,707,2022-12-19 14:46:26.196
33,351.09256744384766,259.4435405731201,1177.0,708,2022-12-19 14:46:26.227
34,350.91705322265625,259.8710346221924,1206,708,2022-12-19 14:46:26.258
35,350.4831314086914,260.4832935333252,1233,0,2022-12-19 14:46:26.280
36,351.1170959472656,260.9468364715576,1216,707,2022-12-19 14:46:26.327
37,351.0512924194336,260.91553688049316,1201.0,706,2022-12-19 14:46:26.358
38,352.6108932495117,260.2126407623291,715,705,2022-12-19 14:46:26.396
39,353.45237731933594,260.5209445953369,704.0,703,2022-12-19 14:46:26.427
40,355.3525161743164,259.93672370910645,697,701,2022-12-19 14:46:26.459
41,356.2754821777344,260.08166313171387,696.0,699,2022-12-19 14:46:26.481
42,358.1704330444336,259.8818778991699,689,695,2022-12-19 14:46:26.528
43,359.7101593017578,259.87850189208984,686.0,693,2022-12-19 14:46:26.559
44,360.72105407714844,260.29961585998535,685.0,689,2022-12-19 14:46:26.582
45,361.3285446166992,260.47101974487305,682.0,689,2022-12-19 14:46:26.628
46,363.1317138671875,261.24841690063477,681.0,685,2022-12-19 14:46:26.659
47,363.2032775878906,261.6541385650635,679.0,684,2022-12-19 14:46:26.682
48,364.7919464111328,262.04386711120605,678,682,2022-12-19 14:46:26.729
49,365.5105209350586,262.99638748168945,678.0,680,2022-12-19 14:46:26.760
50,366.39427185058594,262.87267684936523,675.0,677,2022-12-19 14:46:26.782
51,367.156982421875,263.54870796203613,675,677,2022-12-19 14:46:26.813
52,366.8275833129883,263.22750091552734,676.0,679,2022-12-19 14:46:26.860
53,367.85335540771484,262.77551651000977,673,678,2022-12-19 14:46:26.883
54,366.90948486328125,262.3788070678711,674,679,2022-12-19 14:46:26.914
55,367.43656158447266,261.16138458251953,670.0,674,2022-12-19 14:46:26.961
56,366.48799896240234,259.83630180358887,670.0,673,2022-12-19 14:46:26.983
57,366.3473129272461,258.2263469696045,670,671,2022-12-19 14:46:27.014
58,366.6221237182617,256.6773319244385,667.0,668,2022-12-19 14:46:27.061
59,368.4550094604492,254.98294830322266,662.0,660,2022-12-19 14:46:27.084
60,369.88780975341797,252.79460906982422,659,657,2022-12-19 14:46:27.115
61,372.97325134277344,250.614652633667,653,652,2022-12-19 14:46:27.162
62,375.1764678955078,249.3094825744629,652,650,2022-12-19 14:46:27.185
63,376.55494689941406,248.28872680664062,651,647,2022-12-19 14:46:27.216
64,375.7756805419922,247.24980354309082,650,648,2022-12-19 14:46:27.262
65,375.1095962524414,247.45041847229004,651,648,2022-12-19 14:46:27.285
66,371.6859817504883,248.29044342041016,655,652,2022-12-19 14:46:27.316
67,369.93350982666016,249.86017227172852,659,657,2022-12-19 14:46:27.363
68,367.1211624145508,251.36103630065918,664.0,662,2022-12-19 14:46:27.386
69,363.643798828125,253.36100578308105,670,670,2022-12-19 14:46:27.417
70,360.9885787963867,254.9329948425293,675,673,2022-12-19 14:46:27.464
71,359.09698486328125,255.92737197875977,677,679,2022-12-19 14:46:27.486
72,356.95884704589844,256.17934226989746,685,690,2022-12-19 14:46:27.518
73,354.2757797241211,256.40719413757324,693,698,2022-12-19 14:46:27.564
74,353.3709716796875,257.0859146118164,697.0,701,2022-12-19 14:46:27.587
75,350.2532958984375,257.14468002319336,1173,705,2022-12-19 14:46:27.618
76,348.88988494873047,258.3403015136719,1218.0,0,2022-12-19 14:46:27.649
77,346.14513397216797,258.7264823913574,1233,1238,2022-12-19 14:46:27.687
78,343.49853515625,259.7014045715332,1241.0,1241,2022-12-19 14:46:27.718
79,341.46549224853516,260.19493103027344,1251,1236,2022-12-19 14:46:27.750
80,337.4879455566406,261.0296058654785,1269.0,1256,2022-12-19 14:46:27.788
81,334.3257141113281,260.79952239990234,1266.0,1253,2022-12-19 14:46:27.819
82,331.3047409057617,261.1736011505127,1283.0,1285,2022-12-19 14:46:27.850
83,327.40238189697266,262.11559295654297,1293,1296,2022-12-19 14:46:27.888
84,324.8248291015625,263.1054496765137,1302,1307,2022-12-19 14:46:27.919
85,320.41980743408203,263.98266792297363,1316,1327,2022-12-19 14:46:27.951
86,317.5581932067871,264.65712547302246,1311.5,1327,2022-12-19 14:46:27.989
87,313.9138412475586,264.7705936431885,1364.5,1451,2022-12-19 14:46:28.020
88,311.43280029296875,265.19104957580566,1779,1596,2022-12-19 14:46:28.051
89,308.5628890991211,264.9381923675537,1872,1896,2022-12-19 14:46:28.089
90,306.58214569091797,265.3871726989746,1944,1951,2022-12-19 14:46:28.120
91,303.4546661376953,265.08602142333984,1951.0,1983,2022-12-19 14:46:28.152
92,300.6272315979004,266.48746490478516,1970.0,1996,2022-12-19 14:46:28.190
93,297.9060363769531,267.7616786956787,2022,2049,2022-12-19 14:46:28.221
94,295.2760696411133,271.07288360595703,1223.0,0,2022-12-19 14:46:28.252
95,292.16806411743164,274.83856201171875,824.0,0,2022-12-19 14:46:28.290
96,290.5740737915039,279.07447814941406,816,841,2022-12-19 14:46:28.321
97,289.4028854370117,283.31751823425293,819,832,2022-12-19 14:46:28.352
98,288.89434814453125,286.5333080291748,823,829,2022-12-19 14:46:28.390
99,288.2442092895508,288.7515449523926,828.0,832,2022-12-19 14:46:28.421
100,288.6530113220215,291.8528652191162,826,824,2022-12-19 14:46:28.452
101,288.77954483032227,295.7493782043457,829,826,2022-12-19 14:46:28.499
102,291.0577583312988,300.93358039855957,829,822,2022-12-19 14:46:28.515
103,288.30692291259766,298.70344161987305,831,824,2022-12-19 14:46:28.621
104,286.5777015686035,304.27637100219727,845,841,2022-12-19 14:46:28.653
105,287.85465240478516,309.04120445251465,858,859,2022-12-19 14:46:28.691
106,288.26244354248047,312.4177551269531,863.0,0,2022-12-19 14:46:28.722
107,287.89926528930664,314.1638946533203,874,0,2022-12-19 14:46:28.753
108,287.68510818481445,315.3703022003174,880,0,2022-12-19 14:46:28.791
109,287.97143936157227,317.06090927124023,1107,0,2022-12-19 14:46:28.822
110,288.2354927062988,317.9356098175049,1097,0,2022-12-19 14:46:28.854
111,288.8999366760254,317.8367614746094,1113,0,2022-12-19 14:46:28.892
112,290.0494575500488,317.86471366882324,1105,0,2022-12-19 14:46:28.923
113,290.7901382446289,317.0181941986084,879,0,2022-12-19 14:46:28.954
114,291.4569282531738,315.3999996185303,875.0,0,2022-12-19 14:46:28.992
115,292.4123191833496,313.39725494384766,870.0,870,2022-12-19 14:46:29.023
116,293.66809844970703,310.8529472351074,865.0,865,2022-12-19 14:46:29.054
117,296.16771697998047,308.4748649597168,862,854,2022-12-19 14:46:29.092
118,298.349609375,306.1647891998291,864.0,856,2022-12-19 14:46:29.123
119,300.7378387451172,304.3450355529785,868.0,863,2022-12-19 14:46:29.155
120,303.32027435302734,302.1895980834961,868.0,864,2022-12-19 14:46:29.193
121,304.5387840270996,301.6064929962158,868,868,2022-12-19 14:46:29.224
122,304.56851959228516,301.2977600097656,872,869,2022-12-19 14:46:29.255
123,303.26038360595703,301.4930534362793,872.0,869,2022-12-19 14:46:29.293
